Line,Source_ID,Redshift,Flux_Jy,NEFD_Jy,t_int_hr
SiII 35$\rm \mu m$,28,4.2246,,,
SiII 35$\rm \mu m$,29,5.1353,,,
SiII 35$\rm \mu m$,30,3.8519,,,
SiII 35$\rm \mu m$,31,4.4803,,,
SiII 35$\rm \mu m$,32,5.016,,,
SiII 35$\rm \mu m$,33,3.9875,,,
SiII 35$\rm \mu m$,34,4.8562,,,
SiII 35$\rm \mu m$,35,4.7989,,,
SiII 35$\rm \mu m$,36,2.2334,,,
SiII 35$\rm \mu m$,37,3.4039,,,
SiII 35$\rm \mu m$,38,3.7785,,,
SiII 35$\rm \mu m$,39,4.737,,,
SiII 35$\rm \mu m$,40,3.3684,,,
SiII 35$\rm \mu m$,41,3.3986,,,
SiII 35$\rm \mu m$,42,2.7855,,,
SiII 35$\rm \mu m$,43,4.2692,,,
SiII 35$\rm \mu m$,44,3.1276,,,
SiII 35$\rm \mu m$,45,2.5833,,,
SiII 35$\rm \mu m$,46,3.1642,,,
SiII 35$\rm \mu m$,47,4.4376,,,
SiII 35$\rm \mu m$,48,5.323,,,
SiII 35$\rm \mu m$,49,4.815,,,
SiII 35$\rm \mu m$,50,2.4807,,,
SiII 35$\rm \mu m$,51,2.026,,,
SiII 35$\rm \mu m$,52,2.7272,,,
SiII 35$\rm \mu m$,53,3.3466,,,
SiII 35$\rm \mu m$,54,2.4521,,,
SiII 35$\rm \mu m$,55,3.9977,,,
SiII 35$\rm \mu m$,56,4.0898,,,
SiII 35$\rm \mu m$,57,3.1551,,,
SiII 35$\rm \mu m$,58,4.4359,,,
SiII 35$\rm \mu m$,59,3.2601,,,
SiII 35$\rm \mu m$,60,4.7678,,,
SiII 35$\rm \mu m$,61,2.78,,,
SiII 35$\rm \mu m$,62,4.567,,,
SiII 35$\rm \mu m$,63,3.7604,,,
SiII 35$\rm \mu m$,64,3.8507,,,
SiII 35$\rm \mu m$,65,5.1937,,,
SiII 35$\rm \mu m$,66,2.8936,,,
SiII 35$\rm \mu m$,67,2.5073,,,
SiII 35$\rm \mu m$,68,4.2796,,,
SiII 35$\rm \mu m$,69,3.1413,,,
SiII 35$\rm \mu m$,70,5.2927,,,
SiII 35$\rm \mu m$,71,2.7256,,,
SiII 35$\rm \mu m$,72,4.7555,,,
SiII 35$\rm \mu m$,73,3.8617,,,
SiII 35$\rm \mu m$,74,2.8759,,,
SiII 35$\rm \mu m$,75,3.9,,,
SiII 35$\rm \mu m$,76,4.302,,,
SiII 35$\rm \mu m$,77,5.8114,,,
SiII 35$\rm \mu m$,78,5.5781,,,
SiII 35$\rm \mu m$,79,1.867,,,
SiII 35$\rm \mu m$,80,3.07,,,
OIII 52$\rm \mu m$,0,2.351,,,
OIII 52$\rm \mu m$,1,4.1227,0.07862066650390626,9.124486736399703,93.53646525977132
OIII 52$\rm \mu m$,2,3.4436,,,
OIII 52$\rm \mu m$,3,4.8769,0.10345101928710938,5.352130193037621,18.58751356132973
OIII 52$\rm \mu m$,4,3.0901,,,
OIII 52$\rm \mu m$,5,4.9104,0.20062294006347656,5.35070884376844,4.939681712742795
OIII 52$\rm \mu m$,6,3.6139,,,
OIII 52$\rm \mu m$,7,3.4434,,,
OIII 52$\rm \mu m$,8,4.2334,0.031412687301635746,8.643402762471942,525.7712406610476
OIII 52$\rm \mu m$,9,2.5149,,,
OIII 52$\rm \mu m$,10,3.957,0.14984768676757812,9.337953902052554,26.96751153359335
OIII 52$\rm \mu m$,11,4.2991,0.050428813934326175,7.968536974314771,173.3952453070959
OIII 52$\rm \mu m$,12,4.8031,0.07014031982421876,5.101544515918136,36.7371435717292
OIII 52$\rm \mu m$,13,2.7882,,,
OIII 52$\rm \mu m$,14,4.3492,0.07461640167236329,7.43071340762988,68.86997535973092
OIII 52$\rm \mu m$,15,5.0182,0.15352268981933595,5.3606346276222885,8.466906831298656
OIII 52$\rm \mu m$,16,3.233,,,
OIII 52$\rm \mu m$,17,5.7022,0.03849784469604492,2.5583379431463777,30.667650093909348
OIII 52$\rm \mu m$,18,5.6256,0.07005127716064453,2.625319818413893,9.753709725528182
OIII 52$\rm \mu m$,19,3.5948,,,
OIII 52$\rm \mu m$,20,6.9011,0.046555614471435545,1.609493580514768,8.299881260447007
