# #wavelength in um    transmission function
1.538872960000000148e+03 2.525930000000000016e-03
1.547931090000000040e+03 2.998150000000000207e-03
1.557088400000000092e+03 3.611169999999999918e-03
1.566354700999999977e+03 4.427190000000000118e-03
1.575731950999999981e+03 5.987580000000000159e-03
1.585230536000000029e+03 8.171130000000000407e-03
1.594835847000000058e+03 9.850340000000000831e-03
1.604558269999999993e+03 1.146490000000000009e-02
1.614399959000000081e+03 1.481509999999999945e-02
1.624371924000000035e+03 1.847889999999999949e-02
1.634458935999999994e+03 2.369929999999999953e-02
1.644672006000000238e+03 3.751229999999999842e-02
1.655013514000000214e+03 5.784269999999999690e-02
1.665495149999999967e+03 7.606939999999999535e-02
1.676101026999999931e+03 1.164879999999999943e-01
1.686842846000000236e+03 1.998810000000000031e-01
1.697723238000000038e+03 2.934499999999999886e-01
1.708754640999999992e+03 3.859449999999999825e-01
1.719920473000000129e+03 4.994700000000000251e-01
1.731233191000000033e+03 5.959229999999999805e-01
1.742705842999999959e+03 6.509890000000000398e-01
1.754321298000000070e+03 7.202469999999999706e-01
1.766092630999999983e+03 7.849979999999999736e-01
1.778023000000000138e+03 7.939509999999999623e-01
1.790126339000000144e+03 7.894539999999999891e-01
1.802384751000000279e+03 8.159629999999999939e-01
1.814812206000000060e+03 8.439710000000000267e-01
1.827412227000000030e+03 8.259039999999999715e-01
1.840199726000000283e+03 7.914050000000000251e-01
1.853155995000000075e+03 8.135999999999999899e-01
1.866296000000000049e+03 8.772370000000000445e-01
1.879623677000000043e+03 8.828279999999999461e-01
1.893155030000000124e+03 8.353359999999999674e-01
1.906870491000000129e+03 8.598339999999999872e-01
1.920786132999999836e+03 9.586919999999999886e-01
1.934906369999999924e+03 1.000000000000000000e+00
1.949248421999999891e+03 9.698390000000000066e-01
1.963791812000000164e+03 9.514299999999999979e-01
1.978553851000000350e+03 9.178870000000000084e-01
1.993539506000000074e+03 8.632079999999999753e-01
2.008767357999999831e+03 8.417149999999999910e-01
2.024215971000000081e+03 7.723330000000000473e-01
2.039904044999999996e+03 6.338169999999999638e-01
2.055837187999999969e+03 5.714740000000000375e-01
2.072035512000000381e+03 5.932070000000000398e-01
2.088476572000000033e+03 5.641199999999999548e-01
2.105180630000000292e+03 5.002290000000000347e-01
2.122154048000000330e+03 5.072539999999999827e-01
2.139418660000000273e+03 5.455489999999999506e-01
2.156950967000000219e+03 5.229880000000000084e-01
2.174773000000000138e+03 4.555190000000000072e-01
2.192891998000000058e+03 4.238589999999999858e-01
2.211331760000000031e+03 4.333520000000000150e-01
2.230067677000000003e+03 4.211940000000000128e-01
2.249123794999999973e+03 4.266440000000000232e-01
2.268508392000000185e+03 5.154800000000000493e-01
2.288247499999999945e+03 5.830910000000000259e-01
2.308315364999999929e+03 5.547760000000000469e-01
2.328738332999999784e+03 4.929490000000000260e-01
2.349525914000000284e+03 4.705869999999999775e-01
2.370706707000000279e+03 4.521080000000000099e-01
2.392253770000000259e+03 2.937270000000000159e-01
2.414196104000000105e+03 9.525580000000000158e-02
2.436544685000000300e+03 2.061479999999999910e-02
2.459331075000000055e+03 7.308720000000000321e-03
2.482527123999999731e+03 2.630560000000000103e-03
2.506164903000000322e+03 2.212920000000000165e-03
