Name	Resp.	WhiteNoise	time offset	EL	XEL	Frequency
A_01_0006	1.0	0.0	0.0	-0.4662	-0.15	715.0
A_01_0009	1.0	0.0	0.0	-0.4514	-0.15	715.0
A_01_0018	1.0	0.0	0.0	-0.4366	-0.15	715.0
A_08_9913	1.0	0.0	0.0	0.4185	0.15	1223.0
A_08_9963	1.0	0.0	0.0	0.4371	0.15	1223.0
A_08_9984	1.0	0.0	0.0	0.4557	0.15	1223.0
