# dn/dlogL [Mpc^-3] is the CII luminosity function. log is 10 based logarithm. n is number density of galaxies in log CII luminosity interval logL +/- dlogL per 2*dlogL.
# log (L_CII [L_sun]) bin edges are np.linspace(0,12,121)
#0 log (L_CII [L_sun])
#1 dn/dlogL [Mpc^-3] (z=4.5)
#2 dn/dlogL [Mpc^-3] (z=5.5)
#3 dn/dlogL [Mpc^-3] (z=6.0)
0.05 0.0 0.0 0.0
0.15000000000000002 0.0 0.0 0.0
0.25 0.0 0.0 0.0
0.35000000000000003 4.5204474798283905e-06 0.0 0.0
0.45 0.0 0.0 0.0
0.55 4.5204474798283905e-06 2.526560407910209e-06 0.0
0.6500000000000001 2.2602237399141953e-06 0.0 0.0
0.75 4.5204474798283905e-06 0.0 2.671810101953666e-06
0.8500000000000001 2.2602237399141953e-06 0.0 0.0
0.95 2.2602237399141953e-06 2.526560407910209e-06 0.0
1.05 4.5204474798283905e-06 0.0 2.671810101953666e-06
1.1500000000000001 6.780671219742586e-06 2.526560407910209e-06 0.0
1.25 2.2602237399141953e-06 0.0 0.0
1.35 6.780671219742586e-06 0.0 0.0
1.4500000000000002 2.2602237399141953e-06 0.0 0.0
1.55 1.5821566179399367e-05 0.0 0.0
1.6500000000000001 4.5204474798283905e-06 0.0 0.0
1.75 2.0342013659227757e-05 5.053120815820418e-06 0.0
1.85 1.1301118699570976e-05 0.0 0.0
1.9500000000000002 3.1643132358798734e-05 2.526560407910209e-06 0.0
2.05 1.8081789919313562e-05 2.526560407910209e-06 0.0
2.1500000000000004 3.616357983862713e-05 5.053120815820418e-06 0.0
2.25 8.588850211673942e-05 5.053120815820418e-06 0.0
2.3500000000000005 4.520447479828391e-05 5.053120815820418e-06 1.335905050976833e-05
2.45 0.00014465431935450852 1.2632802039551046e-05 5.343620203907332e-06
2.55 0.00021698147903176276 2.273904367119188e-05 2.671810101953666e-06
2.6500000000000004 0.00032095177106781575 4.547808734238376e-05 1.335905050976833e-05
2.75 0.0005175912364403508 6.821713101357563e-05 2.137448081562933e-05
2.8500000000000005 0.000867925916127051 7.832337264521646e-05 2.6718101019536663e-05
2.95 0.0013742160338678308 0.00017433266814580441 7.74824929566563e-05
3.05 0.002370974703169991 0.000351191896699519 0.00013893412530159062
3.1500000000000004 0.004188194590061004 0.0006543791456487441 0.0002965709213168569
3.25 0.00624951864086275 0.0013643426202715127 0.0007587940689548411
3.3500000000000005 0.008563987750534886 0.002349701179356494 0.0014988854671960066
3.45 0.010207170409452506 0.003764575007786211 0.002551578647365751
3.55 0.012496777057985586 0.005166816034176377 0.003818016635691789
3.6500000000000004 0.014671112295783044 0.006591796104237734 0.004814601803720506
3.75 0.017912273138819997 0.008274485335905935 0.006142491424391478
3.8500000000000005 0.020149894641335053 0.009292689180293748 0.007857793509845732
3.95 0.022724289481097316 0.010705036448315554 0.008624603009106434
4.050000000000001 0.02561285542070766 0.012786922224433566 0.010235704500584494
4.15 0.029620232111575526 0.014108313317770608 0.011913601244611396
4.25 0.034188144289942116 0.016437802013863818 0.01356210807751681
4.35 0.03917419786019283 0.018754657907917482 0.015277410162971065
4.45 0.04410374583694569 0.020904760815049068 0.016314072482529085
4.550000000000001 0.04911918231581529 0.023403529058472265 0.018114872491245854
4.65 0.053598945768325225 0.026021045641067237 0.020220258851585345
4.75 0.05670675341070724 0.02840611866613448 0.022715729486810072
4.8500000000000005 0.05798604004749868 0.031291450651967936 0.02560128439692003
4.95 0.057947616243920134 0.0333354380219673 0.02699329746003789
5.050000000000001 0.056383541415899505 0.03470230720264672 0.028876923581915223
5.15 0.05404873029256815 0.03458608542388285 0.029293725957819997
5.25 0.050518260810822176 0.03384580322436516 0.02971052833372477
5.3500000000000005 0.047401412273480506 0.03210500310331502 0.028214314676630714
5.45 0.04394326995141178 0.03016460471003998 0.026750162740760107
5.550000000000001 0.041212919673595444 0.027759319201709463 0.025326087956418802
5.65 0.038550376107976514 0.025985673795356497 0.023570708719435243
5.75 0.03546291047925372 0.024404046980004705 0.021876781114796618
5.8500000000000005 0.0333405603874743 0.022650614056915024 0.020078652916181803
5.95 0.030820410917469964 0.02131911672194634 0.019071380507745272
6.050000000000001 0.02849690091283817 0.01971475086292336 0.017780896228501646
6.15 0.02694412720351712 0.01847420970263945 0.0168324036423081
6.25 0.024342609678875884 0.016983539061972423 0.015683525298468018
6.3500000000000005 0.022936750512649255 0.015177048370316623 0.013778524695775056
6.45 0.020486667978582264 0.01416895076756045 0.012888811931824486
6.550000000000001 0.01897457829657967 0.012953675211355641 0.011264351389836657
6.65 0.01736303877002085 0.011660076282505611 0.010241048120788404
6.75 0.015796703718260308 0.010447327286708713 0.009148277789089351
6.8500000000000005 0.014214547100320373 0.009295215740701659 0.008100928229123516
6.95 0.01291491844986971 0.00812794483224714 0.007355493210678444
7.050000000000001 0.011676315840396734 0.007347237666202887 0.006500513978053271
7.15 0.010724761645892858 0.0061547011536692686 0.005624160264612467
7.25 0.009418352324222452 0.005659495313718867 0.005004300320959216
7.3500000000000005 0.008435154997359777 0.00508091298030743 0.004333675985368847
7.45 0.007766128770345175 0.0043532635828292905 0.0034306041709085073
7.550000000000001 0.006819095023321127 0.0036938313163647255 0.003099299718266253
7.65 0.006333146919239575 0.0033350597384414755 0.002778682506031813
7.75 0.005695763824583772 0.003011660006228969 0.002618373899914593
7.8500000000000005 0.00485948104081552 0.002746371163398397 0.0020439347279945547
7.95 0.0044390794251914795 0.0024204448707779804 0.0018622516410617053
8.05 0.003948610873630099 0.0019782967993936936 0.0014775109863803774
